teks,label,remove_user,clean_tweet,Tokenizing,tweet_tokens_fdist,tweet_tokens_WSW,Normalisasi,tweet
kebijakan jokowi fokuskan jaga inflasi dan pulihkan ekonomii untuk apbn dinilai tepat,positif,kebijakan jokowi fokuskan jaga inflasi dan pulihkan ekonomii untuk apbn dinilai tepat,kebijakan jokowi fokuskan jaga inflasi dan pulihkan ekonomii untuk apbn dinilai tepat,"['kebijakan', 'jokowi', 'fokuskan', 'jaga', 'inflasi', 'dan', 'pulihkan', 'ekonomii', 'untuk', 'apbn', 'dinilai', 'tepat']",<FreqDist with 12 samples and 12 outcomes>,"['kebijakan', 'jokowi', 'fokuskan', 'jaga', 'inflasi', 'pulihkan', 'ekonomii', 'apbn', 'dinilai']","['kebijakan', 'jokowi', 'fokuskan', 'jaga', 'inflasi', 'pulihkan', 'ekonomii', 'apbn', 'dinilai']","['bijak', 'jokowi', 'fokus', 'jaga', 'inflasi', 'pulih', 'ekonomi', 'apbn', 'nilai']"
persen kuartal ii ekonomii indonesia tumbuh nilai jaga angka inflasi bbmsubs,positif,persen kuartal ii ekonomii indonesia tumbuh nilai jaga angka inflasi bbmsubs,persen kuartal ii ekonomii indonesia tumbuh nilai jaga angka inflasi bbmsubs,"['persen', 'kuartal', 'ii', 'ekonomii', 'indonesia', 'tumbuh', 'nilai', 'jaga', 'angka', 'inflasi', 'bbmsubs']",<FreqDist with 11 samples and 11 outcomes>,"['persen', 'kuartal', 'ekonomii', 'indonesia', 'tumbuh', 'nilai', 'jaga', 'angka', 'inflasi', 'bbmsubs']","['persen', 'kuartal', 'ekonomii', 'indonesia', 'tumbuh', 'nilai', 'jaga', 'angka', 'inflasi', 'bbmsubs']","['persen', 'kuartal', 'ekonomi', 'indonesia', 'tumbuh', 'nilai', 'jaga', 'angka', 'inflasi', 'bbmsubs']"
new post sekda makassar menangani inflasi melalui lorong wisata has been published on,positif,new post sekda makassar menangani inflasi melalui lorong wisata has been published on,new post sekda makassar menangani inflasi melalui lorong wisata has been published on,"['new', 'post', 'sekda', 'makassar', 'menangani', 'inflasi', 'melalui', 'lorong', 'wisata', 'has', 'been', 'published', 'on']",<FreqDist with 13 samples and 13 outcomes>,"['new', 'post', 'sekda', 'makassar', 'menangani', 'inflasi', 'lorong', 'wisata', 'has', 'been', 'published', 'on']","['new', 'post', 'sekda', 'makassar', 'menangani', 'inflasi', 'lorong', 'wisata', 'has', 'been', 'published', 'on']","['new', 'post', 'sekda', 'makassar', 'tangan', 'inflasi', 'lorong', 'wisata', 'has', 'been', 'published', 'on']"
perintah indonesia kendali inflasi perintah optimis inflasi bawah nanti jelang akhir,positif,perintah indonesia kendali inflasi perintah optimis inflasi bawah nanti jelang akhir,perintah indonesia kendali inflasi perintah optimis inflasi bawah nanti jelang akhir,"['perintah', 'indonesia', 'kendali', 'inflasi', 'perintah', 'optimis', 'inflasi', 'bawah', 'nanti', 'jelang', 'akhir']",<FreqDist with 9 samples and 11 outcomes>,"['perintah', 'indonesia', 'kendali', 'inflasi', 'perintah', 'optimis', 'inflasi', 'jelang']","['perintah', 'indonesia', 'kendali', 'inflasi', 'perintah', 'optimis', 'inflasi', 'jelang']","['perintah', 'indonesia', 'kendali', 'inflasi', 'perintah', 'optimis', 'inflasi', 'jelang']"
airlangga juga menjelaskan bahwa inflasi diperkiran terkendali hingga hir tahun setelah sebelumnya berada pada angka  persen airlangga memperkira sai hir tahun angka inflasi berada pada kisaran  jokowi,positif,airlangga juga menjelaskan bahwa inflasi diperkiran terkendali hingga hir tahun setelah sebelumnya berada pada angka  persen airlangga memperkira sai hir tahun angka inflasi berada pada kisaran  jokowi,airlangga juga menjelaskan bahwa inflasi diperkiran terkendali hingga hir tahun setelah sebelumnya berada pada angka persen airlangga memperkira sai hir tahun angka inflasi berada pada kisaran jokowi,"['airlangga', 'juga', 'menjelaskan', 'bahwa', 'inflasi', 'diperkiran', 'terkendali', 'hingga', 'hir', 'tahun', 'setelah', 'sebelumnya', 'berada', 'pada', 'angka', 'persen', 'airlangga', 'memperkira', 'sai', 'hir', 'tahun', 'angka', 'inflasi', 'berada', 'pada', 'kisaran', 'jokowi']",<FreqDist with 20 samples and 27 outcomes>,"['airlangga', 'inflasi', 'diperkiran', 'terkendali', 'hir', 'angka', 'persen', 'airlangga', 'memperkira', 'sai', 'hir', 'angka', 'inflasi', 'kisaran', 'jokowi']","['airlangga', 'inflasi', 'diperkiran', 'terkendali', 'hir', 'angka', 'persen', 'airlangga', 'memperkira', 'sai', 'hir', 'angka', 'inflasi', 'kisaran', 'jokowi']","['airlangga', 'inflasi', 'kir', 'kendali', 'hir', 'angka', 'persen', 'airlangga', 'kira', 'sai', 'hir', 'angka', 'inflasi', 'kisar', 'jokowi']"
sebagai summary recession dijngka lebih mild namun an mnggantikan tema rate hike kos meminjam lebih tggi juga mengibatkan ekonomii slowdown apabila org kurang meminjamduit in circulation kurang ma hrga inflasi dijangka an lebih terkawal bkn kembali,positif,sebagai summary recession dijngka lebih mild namun an mnggantikan tema rate hike kos meminjam lebih tggi juga mengibatkan ekonomii slowdown apabila org kurang meminjamduit in circulation kurang ma hrga inflasi dijangka an lebih terkawal bkn kembali,sebagai summary recession dijngka lebih mild namun an mnggantikan tema rate hike kos meminjam lebih tggi juga mengibatkan ekonomii slowdown apabila org kurang meminjamduit in circulation kurang ma hrga inflasi dijangka an lebih terkawal bkn kembali,"['sebagai', 'summary', 'recession', 'dijngka', 'lebih', 'mild', 'namun', 'an', 'mnggantikan', 'tema', 'rate', 'hike', 'kos', 'meminjam', 'lebih', 'tggi', 'juga', 'mengibatkan', 'ekonomii', 'slowdown', 'apabila', 'org', 'kurang', 'meminjamduit', 'in', 'circulation', 'kurang', 'ma', 'hrga', 'inflasi', 'dijangka', 'an', 'lebih', 'terkawal', 'bkn', 'kembali']",<FreqDist with 32 samples and 36 outcomes>,"['summary', 'recession', 'dijngka', 'mild', 'an', 'mnggantikan', 'tema', 'rate', 'hike', 'kos', 'meminjam', 'tggi', 'mengibatkan', 'ekonomii', 'slowdown', 'org', 'meminjamduit', 'in', 'circulation', 'ma', 'hrga', 'inflasi', 'dijangka', 'an', 'terkawal', 'bkn']","['summary', 'recession', 'dijngka', 'mild', 'an', 'ganti', 'tema', 'rate', 'hike', 'kos', 'meminjam', 'tggi', 'mengibatkan', 'ekonomii', 'slowdown', 'orang', 'meminjamduit', 'in', 'circulation', 'ma', 'harga', 'inflasi', 'dijangka', 'an', 'terkawal', 'bukan']","['summary', 'recession', 'dijngka', 'mild', 'an', 'ganti', 'tema', 'rate', 'hike', 'kos', 'pinjam', 'tggi', 'mengibatkan', 'ekonomi', 'slowdown', 'orang', 'meminjamduit', 'in', 'circulation', 'ma', 'harga', 'inflasi', 'jangka', 'an', 'kawal', 'bukan']"
negara jitu perintah tekan tingkat inflasi indonesia menurut lapor,positif,negara jitu perintah tekan tingkat inflasi indonesia menurut lapor,negara jitu perintah tekan tingkat inflasi indonesia menurut lapor,"['negara', 'jitu', 'perintah', 'tekan', 'tingkat', 'inflasi', 'indonesia', 'menurut', 'lapor']",<FreqDist with 9 samples and 9 outcomes>,"['negara', 'jitu', 'perintah', 'tekan', 'tingkat', 'inflasi', 'indonesia', 'lapor']","['negara', 'jitu', 'perintah', 'tekan', 'tingkat', 'inflasi', 'indonesia', 'lapor']","['negara', 'jitu', 'perintah', 'tekan', 'tingkat', 'inflasi', 'indonesia', 'lapor']"
emas alternatif tabung investasi jangka emas golong as,positif,emas alternatif tabung investasi jangka emas golong as,emas alternatif tabung investasi jangka emas golong as,"['emas', 'alternatif', 'tabung', 'investasi', 'jangka', 'emas', 'golong', 'as']",<FreqDist with 7 samples and 8 outcomes>,"['emas', 'alternatif', 'tabung', 'investasi', 'jangka', 'emas', 'golong', 'as']","['emas', 'alternatif', 'tabung', 'investasi', 'jangka', 'emas', 'golong', 'as']","['emas', 'alternatif', 'tabung', 'investasi', 'jangka', 'emas', 'golong', 'as']"
efektif tekan inflasi di makassar,positif,efektif tekan inflasi di makassar,efektif tekan inflasi di makassar,"['efektif', 'tekan', 'inflasi', 'di', 'makassar']",<FreqDist with 5 samples and 5 outcomes>,"['efektif', 'tekan', 'inflasi', 'makassar']","['efektif', 'tekan', 'inflasi', 'makassar']","['efektif', 'tekan', 'inflasi', 'makassar']"
blt bbm berperan penting mencegah inflasi dan resesi,positif,blt bbm berperan penting mencegah inflasi dan resesi,blt bbm berperan penting mencegah inflasi dan resesi,"['blt', 'bbm', 'berperan', 'penting', 'mencegah', 'inflasi', 'dan', 'resesi']",<FreqDist with 8 samples and 8 outcomes>,"['blt', 'bbm', 'berperan', 'mencegah', 'inflasi', 'resesi']","['blt', 'bbm', 'berperan', 'mencegah', 'inflasi', 'resesi']","['blt', 'bbm', 'peran', 'cegah', 'inflasi', 'resesi']"
